ticker,membership_evidence,membership_source_url,source_as_of_date,notes
ABT,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
ADM,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
AEP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
BA,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
BMY,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CAT,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CL,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CMS,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
COP,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CSX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CVS,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
CVX,secondary,local://sp500_crosscheck_substitute,2026-07-12,"Matched ticker in crosscheck substitute S&P 500 current list. Public lists are reference-only, ETF holdings are not index authority, and announcements are not a full current file."
