effective_date,added_ticker,removed_ticker,membership_evidence,membership_source_url,notes
2022-02-15,NDSN,XLNX,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220210-1449702/1449702_xlnx5.pdf,S&P DJI announcement; Nordson replaced Xilinx in S&P 500.
2022-03-02,MOH,INFO,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220225-1450148/1450148_info5.pdf,S&P DJI announcement; Molina Healthcare replaced IHS Markit in S&P 500.
2022-04-04,CPT,PBCT,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220329-1451101/1451101_pbct5.pdf,S&P DJI announcement; Camden Property Trust replaced People's United Financial in S&P 500.
2022-06-08,VICI,CERN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220603-1453030/1453030_shufcernjune2022-546.pdf,S&P DJI June 2022 announcement; VICI Properties replaced Cerner in S&P 500.
2022-06-21,KDP,UAA,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220603-1453030/1453030_shufcernjune2022-546.pdf,S&P DJI June 2022 quarterly rebalance; Keurig Dr Pepper replaced Under Armour class A in S&P 500.
2022-06-21,ON,IPGP,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220603-1453030/1453030_shufcernjune2022-546.pdf,S&P DJI June 2022 quarterly rebalance; ON Semiconductor replaced IPG Photonics in S&P 500.
2022-09-19,CSGP,PVH,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220902-1455498/1455498_100amdshuffsept2022-546.pdf,S&P DJI September 2022 quarterly rebalance; CoStar Group replaced PVH in S&P 500.
2022-09-19,INVH,PENN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220902-1455498/1455498_100amdshuffsept2022-546.pdf,S&P DJI September 2022 quarterly rebalance; Invitation Homes replaced PENN Entertainment in S&P 500.
2022-10-03,PCG,CTXS,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220923-1456105/1456105_6gcp6xper6abtx5ctxs5dre.pdf,S&P DJI announcement; PG&E replaced Citrix Systems in S&P 500.
2022-10-03,EQT,DRE,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220923-1456105/1456105_6gcp6xper6abtx5ctxs5dre.pdf,S&P DJI announcement; EQT replaced Duke Realty in S&P 500.
2022-10-12,TRGP,NLSN,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20221006-1456477/1456477_5nlsn.pdf,S&P DJI announcement; Targa Resources replaced Nielsen Holdings in S&P 500.
2022-11-01,ACGL,TWTR,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20221027-1457121/1457121_5twtr-4xpo.pdf,S&P DJI announcement; Arch Capital Group replaced Twitter in S&P 500.
2022-12-19,FSLR,FBHS,verified,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20221212-1460145/1460145_5fbhs.pdf,S&P DJI December 2022 announcement; First Solar replaced Fortune Brands Home & Security in S&P 500.
